epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1602947767305,2020-10-17T11:16:07.305,20.219,99402.773
1602947767442,2020-10-17T11:16:07.442,20.356,99401.453
1602947767576,2020-10-17T11:16:07.576,20.490,99398.828
1602947767713,2020-10-17T11:16:07.713,20.627,99401.453
1602947767847,2020-10-17T11:16:07.847,20.761,99397.508
1602947767984,2020-10-17T11:16:07.984,20.898,99402.281
1602947768120,2020-10-17T11:16:08.120,21.034,99396.680
1602947768255,2020-10-17T11:16:08.255,21.169,99400.141
1602947768391,2020-10-17T11:16:08.391,21.305,99404.578
1602947768527,2020-10-17T11:16:08.527,21.441,99403.117
1602947768662,2020-10-17T11:16:08.662,21.576,99402.281
1602947768798,2020-10-17T11:16:08.798,21.712,99404.922
1602947768933,2020-10-17T11:16:08.933,21.847,99399.656
1602947769069,2020-10-17T11:16:09.069,21.983,99402.773
1602947769205,2020-10-17T11:16:09.205,22.119,99400.031
1602947769340,2020-10-17T11:16:09.340,22.254,99401.797
1602947769476,2020-10-17T11:16:09.476,22.390,99403.500
1602947769613,2020-10-17T11:16:09.613,22.527,99402.664
1602947769747,2020-10-17T11:16:09.747,22.661,99396.531
1602947769884,2020-10-17T11:16:09.884,22.798,99403.984
1602947770020,2020-10-17T11:16:10.020,22.934,99397.016
1602947770155,2020-10-17T11:16:10.155,23.069,99400.484
1602947770291,2020-10-17T11:16:10.291,23.205,99400.031
1602947770427,2020-10-17T11:16:10.427,23.341,99400.031
1602947770562,2020-10-17T11:16:10.562,23.476,99401.344
1602947770698,2020-10-17T11:16:10.698,23.612,99398.719
1602947770833,2020-10-17T11:16:10.833,23.747,99400.484
1602947770969,2020-10-17T11:16:10.969,23.883,99398.719
1602947771105,2020-10-17T11:16:11.105,24.019,99396.078
1602947771240,2020-10-17T11:16:11.240,24.154,99401.344
1602947771376,2020-10-17T11:16:11.376,24.290,99399.164
1602947771512,2020-10-17T11:16:11.512,24.426,99399.547
1602947771647,2020-10-17T11:16:11.647,24.561,99400.031
1602947771783,2020-10-17T11:16:11.783,24.697,99396.531
1602947771920,2020-10-17T11:16:11.920,24.834,99399.547
1602947772054,2020-10-17T11:16:12.054,24.968,99403.008
1602947772191,2020-10-17T11:16:12.191,25.105,99403.117
1602947772325,2020-10-17T11:16:12.325,25.239,99405.297
1602947772462,2020-10-17T11:16:12.462,25.376,99399.164
1602947772598,2020-10-17T11:16:12.598,25.512,99393.070
1602947772733,2020-10-17T11:16:12.733,25.647,99397.391
1602947772869,2020-10-17T11:16:12.869,25.783,99401.344
1602947773005,2020-10-17T11:16:13.005,25.919,99405.297
1602947773140,2020-10-17T11:16:13.140,26.054,99400.031
1602947773276,2020-10-17T11:16:13.276,26.190,99401.344
1602947773411,2020-10-17T11:16:13.411,26.325,99403.500
1602947773547,2020-10-17T11:16:13.547,26.461,99402.172
1602947773683,2020-10-17T11:16:13.683,26.597,99403.500
1602947773818,2020-10-17T11:16:13.818,26.732,99402.664
1602947773954,2020-10-17T11:16:13.954,26.868,99397.391
1602947774091,2020-10-17T11:16:14.091,27.005,99398.719
1602947774225,2020-10-17T11:16:14.225,27.139,99396.078
1602947774362,2020-10-17T11:16:14.362,27.276,99401.344
1602947774498,2020-10-17T11:16:14.498,27.412,99399.656
1602947774633,2020-10-17T11:16:14.633,27.547,99402.172
1602947774769,2020-10-17T11:16:14.769,27.683,99400.031
1602947774904,2020-10-17T11:16:14.904,27.818,99395.594
1602947775040,2020-10-17T11:16:15.040,27.954,99400.031
1602947775176,2020-10-17T11:16:15.176,28.090,99397.391
1602947775311,2020-10-17T11:16:15.311,28.225,99402.172
1602947775447,2020-10-17T11:16:15.447,28.361,99401.797
1602947775583,2020-10-17T11:16:15.583,28.497,99402.664
1602947775718,2020-10-17T11:16:15.718,28.632,99399.547
1602947775854,2020-10-17T11:16:15.854,28.768,99403.984
1602947775991,2020-10-17T11:16:15.991,28.905,99401.344
1602947776127,2020-10-17T11:16:16.127,29.041,99402.172
1602947776262,2020-10-17T11:16:16.262,29.176,99398.719
1602947776396,2020-10-17T11:16:16.396,29.310,99400.859
1602947776532,2020-10-17T11:16:16.532,29.446,99400.031
1602947776669,2020-10-17T11:16:16.669,29.583,99402.664
1602947776803,2020-10-17T11:16:16.803,29.717,99403.500
1602947776940,2020-10-17T11:16:16.940,29.854,99404.813
1602947777076,2020-10-17T11:16:17.076,29.990,99403.008
1602947777211,2020-10-17T11:16:17.211,30.125,99401.688
1602947777347,2020-10-17T11:16:17.347,30.261,99405.641
1602947777482,2020-10-17T11:16:17.482,30.396,99404.320
1602947777618,2020-10-17T11:16:17.618,30.532,99401.688
1602947777754,2020-10-17T11:16:17.754,30.668,99406.125
1602947777890,2020-10-17T11:16:17.890,30.804,99401.688
1602947778025,2020-10-17T11:16:18.025,30.939,99401.688
1602947778161,2020-10-17T11:16:18.161,31.075,99400.031
1602947778298,2020-10-17T11:16:18.298,31.212,99405.297
1602947778432,2020-10-17T11:16:18.432,31.346,99400.859
1602947778569,2020-10-17T11:16:18.569,31.483,99400.031
1602947778705,2020-10-17T11:16:18.705,31.619,99404.320
1602947778840,2020-10-17T11:16:18.840,31.754,99404.320
1602947778976,2020-10-17T11:16:18.976,31.890,99407.438
1602947779112,2020-10-17T11:16:19.112,32.026,99405.188
1602947779247,2020-10-17T11:16:19.247,32.161,99400.375
1602947779383,2020-10-17T11:16:19.383,32.297,99401.234
1602947779518,2020-10-17T11:16:19.518,32.432,99399.055
1602947779654,2020-10-17T11:16:19.654,32.568,99402.547
1602947779790,2020-10-17T11:16:19.790,32.704,99403.383
1602947779925,2020-10-17T11:16:19.925,32.839,99397.281
1602947780061,2020-10-17T11:16:20.061,32.975,99405.188
1602947780198,2020-10-17T11:16:20.198,33.112,99400.859
1602947780332,2020-10-17T11:16:20.332,33.246,99401.688
1602947780469,2020-10-17T11:16:20.469,33.383,99398.602
1602947780603,2020-10-17T11:16:20.603,33.517,99406.016
1602947780740,2020-10-17T11:16:20.740,33.654,99404.320
1602947780876,2020-10-17T11:16:20.876,33.790,99401.688
1602947781011,2020-10-17T11:16:21.011,33.925,99403.500
1602947781147,2020-10-17T11:16:21.147,34.061,99401.688
1602947781283,2020-10-17T11:16:21.283,34.197,99405.531
1602947781418,2020-10-17T11:16:21.418,34.332,99403.008
1602947781554,2020-10-17T11:16:21.554,34.468,99401.234
1602947781689,2020-10-17T11:16:21.689,34.603,99407.820
1602947781825,2020-10-17T11:16:21.825,34.739,99396.422
1602947781961,2020-10-17T11:16:21.961,34.875,99400.750
1602947782096,2020-10-17T11:16:22.096,35.010,99402.063
1602947782232,2020-10-17T11:16:22.232,35.146,99404.320
1602947782368,2020-10-17T11:16:22.368,35.282,99402.547
1602947782503,2020-10-17T11:16:22.503,35.417,99401.234
1602947782639,2020-10-17T11:16:22.639,35.553,99402.063
1602947782774,2020-10-17T11:16:22.774,35.688,99404.211
1602947782910,2020-10-17T11:16:22.910,35.824,99404.320
1602947783047,2020-10-17T11:16:23.047,35.961,99403.875
1602947783181,2020-10-17T11:16:23.181,36.095,99401.234
1602947783318,2020-10-17T11:16:23.318,36.232,99403.875
1602947783454,2020-10-17T11:16:23.454,36.368,99402.547
1602947783589,2020-10-17T11:16:23.589,36.503,99396.422
1602947783725,2020-10-17T11:16:23.725,36.639,99402.063
1602947783860,2020-10-17T11:16:23.860,36.774,99404.211
1602947783996,2020-10-17T11:16:23.996,36.910,99402.063
1602947784132,2020-10-17T11:16:24.132,37.046,99398.117
1602947784267,2020-10-17T11:16:24.267,37.181,99400.750
1602947784403,2020-10-17T11:16:24.403,37.317,99403.383
1602947784539,2020-10-17T11:16:24.539,37.453,99404.320
1602947784674,2020-10-17T11:16:24.674,37.588,99400.750
1602947784810,2020-10-17T11:16:24.810,37.724,99404.211
1602947784947,2020-10-17T11:16:24.947,37.861,99401.578
1602947785081,2020-10-17T11:16:25.081,37.995,99406.016
1602947785218,2020-10-17T11:16:25.218,38.132,99400.750
1602947785352,2020-10-17T11:16:25.352,38.266,99402.063
1602947785489,2020-10-17T11:16:25.489,38.403,99403.383
1602947785625,2020-10-17T11:16:25.625,38.539,99400.750
1602947785760,2020-10-17T11:16:25.760,38.674,99403.383
1602947785896,2020-10-17T11:16:25.896,38.810,99401.578
1602947786031,2020-10-17T11:16:26.031,38.945,99403.727
1602947786167,2020-10-17T11:16:26.167,39.081,99405.188
1602947786303,2020-10-17T11:16:26.303,39.217,99405.906
1602947786438,2020-10-17T11:16:26.438,39.352,99401.578
1602947786574,2020-10-17T11:16:26.574,39.488,99398.953
1602947786710,2020-10-17T11:16:26.710,39.624,99403.383
1602947786845,2020-10-17T11:16:26.845,39.759,99398.117
1602947786981,2020-10-17T11:16:26.981,39.895,99398.117
1602947787117,2020-10-17T11:16:27.117,40.031,99401.094
1602947787252,2020-10-17T11:16:27.252,40.166,99398.461
1602947787388,2020-10-17T11:16:27.388,40.302,99403.383
1602947787523,2020-10-17T11:16:27.523,40.437,99400.750
1602947787659,2020-10-17T11:16:27.659,40.573,99401.094
1602947787796,2020-10-17T11:16:27.796,40.710,99402.891
1602947787930,2020-10-17T11:16:27.930,40.844,99405.531
1602947788067,2020-10-17T11:16:28.067,40.981,99405.422
1602947788203,2020-10-17T11:16:28.203,41.117,99402.891
1602947788338,2020-10-17T11:16:28.338,41.252,99401.578
1602947788474,2020-10-17T11:16:28.474,41.388,99398.117
1602947788609,2020-10-17T11:16:28.609,41.523,99398.953
1602947788745,2020-10-17T11:16:28.745,41.659,99400.266
1602947788881,2020-10-17T11:16:28.881,41.795,99401.094
1602947789016,2020-10-17T11:16:29.016,41.930,99401.578
1602947789152,2020-10-17T11:16:29.152,42.066,99398.953
1602947789288,2020-10-17T11:16:29.288,42.202,99399.773
1602947789423,2020-10-17T11:16:29.423,42.337,99402.891
1602947789559,2020-10-17T11:16:29.559,42.473,99398.461
1602947789694,2020-10-17T11:16:29.694,42.608,99406.359
1602947789830,2020-10-17T11:16:29.830,42.744,99399.430
1602947789967,2020-10-17T11:16:29.967,42.881,99400.750
1602947790101,2020-10-17T11:16:30.101,43.015,99401.094
1602947790238,2020-10-17T11:16:30.238,43.152,99401.234
1602947790374,2020-10-17T11:16:30.374,43.288,99404.211
1602947790509,2020-10-17T11:16:30.509,43.423,99398.117
1602947790645,2020-10-17T11:16:30.645,43.559,99406.844
1602947790780,2020-10-17T11:16:30.780,43.694,99400.750
1602947790916,2020-10-17T11:16:30.916,43.830,99405.047
1602947791052,2020-10-17T11:16:31.052,43.966,99401.578
1602947791187,2020-10-17T11:16:31.187,44.101,99405.531
1602947791323,2020-10-17T11:16:31.323,44.237,99403.727
1602947791459,2020-10-17T11:16:31.459,44.373,99398.117
1602947791594,2020-10-17T11:16:31.594,44.508,99403.383
1602947791730,2020-10-17T11:16:31.730,44.644,99396.313
1602947791866,2020-10-17T11:16:31.866,44.780,99402.406
1602947792001,2020-10-17T11:16:32.001,44.915,99403.875
1602947792137,2020-10-17T11:16:32.137,45.051,99406.016
1602947792272,2020-10-17T11:16:32.272,45.186,99402.063
1602947792408,2020-10-17T11:16:32.408,45.322,99402.891
1602947792545,2020-10-17T11:16:32.545,45.459,99398.117
