epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1627848915629,2021-08-01T16:15:15.629,1.880,-0.427,0.305,-0.732
1627848915639,2021-08-01T16:15:15.639,1.890,-0.488,0.305,-0.732
1627848915649,2021-08-01T16:15:15.649,1.900,-0.427,0.244,-0.610
1627848915659,2021-08-01T16:15:15.659,1.910,-0.305,0.244,-0.732
1627848915669,2021-08-01T16:15:15.669,1.920,-0.488,0.305,-0.549
1627848915679,2021-08-01T16:15:15.679,1.930,-0.549,0.183,-0.549
1627848915689,2021-08-01T16:15:15.689,1.940,-0.427,0.183,-0.793
1627848915699,2021-08-01T16:15:15.699,1.950,-0.488,0.244,-0.732
1627848915709,2021-08-01T16:15:15.709,1.960,-0.549,0.183,-0.549
1627848915719,2021-08-01T16:15:15.719,1.970,-0.427,0.122,-0.549
1627848915729,2021-08-01T16:15:15.729,1.980,-0.366,0.244,-0.793
1627848915739,2021-08-01T16:15:15.739,1.990,-0.366,0.244,-0.732
1627848915749,2021-08-01T16:15:15.749,2.000,-0.427,0.183,-0.427
1627848915759,2021-08-01T16:15:15.759,2.010,-0.427,0.183,-0.610
1627848915769,2021-08-01T16:15:15.769,2.020,-0.427,0.305,-0.793
1627848915779,2021-08-01T16:15:15.779,2.030,-0.488,0.183,-0.549
1627848915789,2021-08-01T16:15:15.789,2.040,-0.488,0.183,-0.488
1627848915799,2021-08-01T16:15:15.799,2.050,-0.427,0.244,-0.671
1627848915809,2021-08-01T16:15:15.809,2.060,-0.488,0.305,-0.671
1627848915819,2021-08-01T16:15:15.819,2.070,-0.549,0.244,-0.427
1627848915829,2021-08-01T16:15:15.829,2.080,-0.366,0.183,-0.671
1627848915839,2021-08-01T16:15:15.839,2.090,-0.366,0.305,-0.732
1627848915849,2021-08-01T16:15:15.849,2.100,-0.488,0.305,-0.488
1627848915859,2021-08-01T16:15:15.859,2.110,-0.366,0.183,-0.488
1627848915869,2021-08-01T16:15:15.869,2.120,-0.366,0.183,-0.732
1627848915879,2021-08-01T16:15:15.879,2.130,-0.427,0.305,-0.732
1627848915889,2021-08-01T16:15:15.889,2.140,-0.488,0.183,-0.427
1627848915899,2021-08-01T16:15:15.899,2.150,-0.366,0.244,-0.610
1627848915909,2021-08-01T16:15:15.909,2.160,-0.305,0.183,-0.793
1627848915919,2021-08-01T16:15:15.919,2.170,-0.488,0.244,-0.488
1627848915929,2021-08-01T16:15:15.929,2.180,-0.427,0.183,-0.427
1627848915939,2021-08-01T16:15:15.939,2.190,-0.366,0.122,-0.732
